Feature,category,Method
100026,pepper,VIP+FoldChange
100032,"nasturtium, chive blossom",VIP+FoldChange
100044,potato,VIP+FoldChange
100051,onion,VIP+FoldChange
10006,grain_fermented,VIP+FoldChange
100063,milk_goat,VIP+FoldChange
100073,"Spenach, spinach",VIP+FoldChange
10008,soda,VIP+FoldChange
100084,chicken,VIP+FoldChange
100088,pea,VIP+FoldChange
10010,oat,VIP+FoldChange
100105,grape_fermented,VIP+FoldChange
100133,lemon,VIP+FoldChange
100136,"Spenach, borage flower, borage leaf",VIP+FoldChange
100158,peanut,VIP+FoldChange
100159,peanut,VIP+FoldChange
100191,"borage flower, borage leaf",VIP+FoldChange
100192,"borage flower, borage leaf",VIP+FoldChange
100214,pepper,VIP+FoldChange
100235,borage leaf,VIP+FoldChange
100237,"ginger, parsley",VIP+FoldChange
100238,ginger,VIP+FoldChange
100241,ginger,VIP+FoldChange
100255,sesame seed,VIP+FoldChange
10026,"broccoli, cauliflower",VIP+FoldChange
100269,grain_fermented,VIP+FoldChange
100279,tarragon,VIP+FoldChange
100282,lemon,VIP+FoldChange
10030,chia,VIP+FoldChange
100318,potato leaf,VIP+FoldChange
100329,borage flower,VIP+FoldChange
100336,sage,VIP+FoldChange
100385,"bay leaf, marjoram",VIP+FoldChange
10039,cheddar cheese,VIP+FoldChange
100443,sage,VIP+FoldChange
100458,ground cherry,VIP+FoldChange
100469,ground cherry,VIP+FoldChange
100472,ground cherry,VIP+FoldChange
100474,borage leaf,VIP+FoldChange
100475,"walnut, melon",VIP+FoldChange
100482,borage leaf,VIP+FoldChange
100500,poppy seed,VIP+FoldChange
100512,blueberry,VIP+FoldChange
100523,tarragon,VIP+FoldChange
100530,anise,VIP+FoldChange
100536,anise,VIP+FoldChange
100541,anise,VIP+FoldChange
100544,chive blossom,VIP+FoldChange
100567,mushroom,VIP+FoldChange
100575,"chicken, pig",VIP+FoldChange
100593,cloves,VIP+FoldChange
100622,"Tilapia, salmon",VIP+FoldChange
100627,kumquat,VIP+FoldChange
100633,walnut,VIP+FoldChange
100646,cauliflower,VIP+FoldChange
10065,walnut,VIP+FoldChange
100659,pepper,VIP+FoldChange
100676,cheddar cheese,VIP+FoldChange
10068,walnut,VIP+FoldChange
100687,cherry,VIP+FoldChange
100696,avocado,VIP+FoldChange
100699,ground cherry,VIP+FoldChange
100702,hing powder,VIP+FoldChange
100734,rice,VIP+FoldChange
100743,potato,VIP+FoldChange
100783,strawberry,VIP+FoldChange
100795,tomato,VIP+FoldChange
100808,cilantro,VIP+FoldChange
10081,trout,VIP+FoldChange
10082,garlic,VIP+FoldChange
100852,raspberry,VIP+FoldChange
100894,sage,VIP+FoldChange
100897,lettuce,VIP+FoldChange
100899,raspberry,VIP+FoldChange
100901,chard,VIP+FoldChange
100956,lavender,VIP+FoldChange
100957,"lavender, squash blossom",VIP+FoldChange
100967,onion,VIP+FoldChange
101035,"chard, radish greens",VIP+FoldChange
101039,strawberry,VIP+FoldChange
101049,hing powder,VIP+FoldChange
101058,arugula,VIP+FoldChange
101073,strawberry,VIP+FoldChange
101083,carrot,VIP+FoldChange
101085,"strawberry, cranberry",VIP+FoldChange
101108,marjoram,VIP+FoldChange
101111,guava,VIP+FoldChange
101115,"oregano, marjoram",VIP+FoldChange
101117,"olive, betel nut",VIP+FoldChange
10112,potato leaf,VIP+FoldChange
101127,sesame seed,VIP+FoldChange
101129,pea,VIP+FoldChange
101178,strawberry,VIP+FoldChange
101206,cauliflower,VIP+FoldChange
101210,shrimp,VIP+FoldChange
101211,chicken,VIP+FoldChange
101223,borage leaf,VIP+FoldChange
101235,anise,VIP+FoldChange
101236,anise,VIP+FoldChange
101239,mushroom plant,VIP+FoldChange
101259,walnut,VIP+FoldChange
101261,"walnut, ground cherry",VIP+FoldChange
101263,cranberry,VIP+FoldChange
101264,cranberry,VIP+FoldChange
101269,"olive, curry plant",VIP+FoldChange
101272,curry plant,VIP+FoldChange
101273,pea,VIP+FoldChange
101278,cardamom,VIP+FoldChange
101279,strawberry,VIP+FoldChange
101312,"cauliflower, brussel sprout",VIP+FoldChange
10133,"beet, cardamom",VIP+FoldChange
101350,celery,VIP+FoldChange
101354,pomelo,VIP+FoldChange
10136,Spenach,VIP+FoldChange
101375,"peanut, sesame seed",VIP+FoldChange
101397,onion,VIP+FoldChange
101426,walnut,VIP+FoldChange
10143,"radish, radish greens",VIP+FoldChange
101433,mushroom plant,VIP+FoldChange
101454,salmon,VIP+FoldChange
101457,mushroom,VIP+FoldChange
101476,cocoa seed,VIP+FoldChange
101485,milk_cow,VIP+FoldChange
101491,chicken,VIP+FoldChange
101504,apricot,VIP+FoldChange
101505,"rice, arugula",VIP+FoldChange
101508,lemon,VIP+FoldChange
10151,garlic,VIP+FoldChange
101532,"apple, corn",VIP+FoldChange
101540,marjoram,VIP+FoldChange
101579,pea,VIP+FoldChange
101583,onion,VIP+FoldChange
1016,grape,VIP+FoldChange
101624,ground cherry,VIP+FoldChange
101639,"lavender, thyme, marjoram",VIP+FoldChange
101640,pepper,VIP+FoldChange
101641,shrimp,VIP+FoldChange
101648,"cherry, spinach",VIP+FoldChange
101655,borage flower,VIP+FoldChange
101661,betel nut leaf,VIP+FoldChange
101663,betel nut leaf,VIP+FoldChange
101665,langostino,VIP+FoldChange
101670,"cardamom, dill flower, dill",VIP+FoldChange
101682,grapefruit,VIP+FoldChange
101691,tomato,VIP+FoldChange
101710,sesame,VIP+FoldChange
