"feature","category"
"10002","beef, cheddar cheese"
"100035","betel nut leaf, onion, walnut, pine nut, grape_fermented, olive, bay leaf, spice, legume, avocado, mint"
"100044","beef, langostino, potato"
"100080","salmon, chicken, kale"
"100120","milk_cow, salmon, yogurt_cow"
"100175","carrot, pine nut, anise, oregano, lavender, mint, dill flower, parsley, lemon balm"
"100179","carrot, turmeric, cardamom, ginger, oregano"
"100273","cheddar cheese"
"100283","cheddar cheese"
"100324","walnut, cauliflower, bean, peanut, cardamom, legume, Spenach"
"10039","cheddar cheese"
"100409","beef, corn, salmon, chicken, veal"
"100624","cheddar cheese"
"100664","betel nut leaf, cilantro"
"100671","pine nut, turmeric, grape_fermented, lentil, anise, olive, cardamom, legume, butter, Spenach, lavender"
"100672","cheddar cheese"
"100676","cheddar cheese"
"100745","blueberry, walnut, turmeric, cardamom, bay leaf, oregano, lavender, ground cherry"
"100774","grape_fermented, peanut, bay leaf, legume, ginger, oregano, sesame, curry plant"
"10078","peanut, hing powder, cocoa seed"
"100793","beef"
"100836","beef, bean, veal, cheddar cheese"
"100883","walnut, turmeric, grape_fermented, lentil, anise, olive, bay leaf, legume, butter, Spenach, borage leaf"
"100975","lettuce"
"101023","beef"
"101059","strawberry, lentil, legume, guava"
"101068","avocado"
"101082","beef, grain_fermented"
"1011","beef, chicken, pig, veal"
"101109","beef"
"101167","pine nut, grape_fermented, spice, oregano, lavender, lemon balm"
"101172","walnut, turmeric, anise, cardamom, ginger"
"101186","raspberry, strawberry, walnut, pine nut, grape_fermented, cardamom, melon, banana, apricot, guava, cannabis leaf, marigold"
"101206","cauliflower"
"101207","pepper"
"101240","betel nut leaf, rosemary, walnut, peanut, lentil, anise, bay leaf, spice, oregano"
"101298","eggplant, mint"
"101316","cheddar cheese"
"101353","cheddar cheese"
"101371","cheddar cheese"
"101372","blueberry, broccoli, pine nut, anise, ginger, oregano"
"101434","beef, bean, Tilapia, chicken"
"101470","walnut, pine nut, turmeric, lentil, pig"
"101482","turmeric, grape_fermented, peanut, lentil, cardamom, bay leaf, legume, Spenach, avocado"
"101493","beef"
"101536","beef"
"101552","lentil, olive, legume, butter, oregano"
"101578","beef"
"101588","beef"
"101648","trout, cherry, spinach"
"101685","beef"
"101712","cream"
"101756","beef"
"101762","peanut, olive, cardamom, bay leaf, butter, Spenach"
"101828","tomato, anise, ginger, oregano, apricot, poppy seed"
"101834","walnut, grape_fermented, lentil, anise, olive, cardamom, bay leaf, oregano, lavender"
"101896","pear, raspberry, fig, cherry, grape_fermented, basil, lentil, bay leaf, oregano, avocado, borage leaf, lemon balm"
"101918","Tilapia"
"101921","beef, langostino, yogurt_cow"
"101936","beef"
