"Feature","category","Method"
"10019","bran","Top40_VIP_High"
"10022","bran","Top40_VIP_High"
"10027","bran","Top40_VIP_High"
"10037","bran","Top40_VIP_High"
"10040","bran","Top40_VIP_High"
"10121","bran","Top40_VIP_High"
"104","Complex_Meat","Top40_VIP_High"
"10560","Fruit","Top40_VIP_High"
"1069","Complex_Seafood","Top40_VIP_High"
"1070","Complex_Seafood","Top40_VIP_High"
"10707","bran","Top40_VIP_High"
"1073","Complex_Seafood","Top40_VIP_High"
"11501","Vitamins","Top40_VIP_High"
"11730","Complex_Meat","Top40_VIP_High"
"11864","Vegetable, bran","Top40_VIP_High"
"1187","Complex_Dairy","Top40_VIP_High"
"12363","Complex","Top40_VIP_High"
"1267","Complex_Dairy","Top40_VIP_High"
"1282","Vegetable","Top40_VIP_High"
"12858","Dairy","Top40_VIP_High"
"12950","Dairy","Top40_VIP_High"
"13077","Vitamins","Top40_VIP_High"
"1310","Complex_Dairy","Top40_VIP_High"
"13112","Vitamins","Top40_VIP_High"
"13468","Complex","Top40_VIP_High"
"13952","Complex_Meat","Top40_VIP_High"
"1401","Seafood","Top40_VIP_High"
"14117","Complex","Top40_VIP_High"
"14296","Vitamins","Top40_VIP_High"
"14344","Fruit","Top40_VIP_High"
"14455","Complex","Top40_VIP_High"
"14572","Vitamins","Top40_VIP_High"
"14652","Fruit","Top40_VIP_High"
"148","Egg","Top40_VIP_High"
"14807","Dairy","Top40_VIP_High"
"1508","Complex_Dairy","Top40_VIP_High"
"15422","Complex_Meat","Top40_VIP_High"
"15544","Complex","Top40_VIP_High"
"158","Egg","Top40_VIP_High"
"15850","Meat","Top40_VIP_High"
"159","Egg","Top40_VIP_High"
"15997","Vitamins","Top40_VIP_High"
"16257","EEN","Top40_VIP_High"
"1629","Complex_Dairy","Top40_VIP_High"
"16371","Complex_Meat","Top40_VIP_High"
"1656","Vitamins","Top40_VIP_High"
"16711","Dairy","Top40_VIP_High"
"16730","Dairy","Top40_VIP_High"
"16769","Dairy","Top40_VIP_High"
"16876","Vitamins","Top40_VIP_High"
"1688","Complex_Seafood","Top40_VIP_High"
"16883","Complex","Top40_VIP_High"
"16948","Vitamins","Top40_VIP_High"
"16961","Vitamins","Top40_VIP_High"
"1704","Complex_Meat","Top40_VIP_High"
"17138","Fruit","Top40_VIP_High"
"1726","Complex_Seafood","Top40_VIP_High"
"174","Meat","Top40_VIP_High"
"17661","Complex_Meat","Top40_VIP_High"
"17668","Vegetable","Top40_VIP_High"
"17724","Dairy","Top40_VIP_High"
"1793","Vegetable","Top40_VIP_High"
"1803","Complex_Dairy","Top40_VIP_High"
"18131","Fruit","Top40_VIP_High"
"1819","Complex_Seafood","Top40_VIP_High"
"1835","Meat, Seafood","Top40_VIP_High"
"18581","bran","Top40_VIP_High"
"18593","Seafood","Top40_VIP_High"
"1861","Complex_Seafood","Top40_VIP_High"
"18651","Complex_Meat","Top40_VIP_High"
"18819","Dairy","Top40_VIP_High"
"18872","Egg","Top40_VIP_High"
"19067","Seafood","Top40_VIP_High"
"19247","Dairy","Top40_VIP_High"
"19324","Dairy","Top40_VIP_High"
"19379","Dairy","Top40_VIP_High"
"194","Egg","Top40_VIP_High"
"195","Complex_Meat","Top40_VIP_High"
"19531","bran","Top40_VIP_High"
"19599","Meat","Top40_VIP_High"
"19863","Vitamins","Top40_VIP_High"
"20128","Dairy","Top40_VIP_High"
"20231","Dairy","Top40_VIP_High"
"2032","Complex_Dairy","Top40_VIP_High"
"20428","bran","Top40_VIP_High"
"20516","Vitamins","Top40_VIP_High"
"20568","Dairy","Top40_VIP_High"
"20617","Vitamins","Top40_VIP_High"
"2064","Complex_Seafood","Top40_VIP_High"
"20917","Seafood","Top40_VIP_High"
"20946","Vitamins","Top40_VIP_High"
"21056","Complex_Dairy","Top40_VIP_High"
"21093","Complex_Meat","Top40_VIP_High"
"21140","Dairy","Top40_VIP_High"
"2124","Meat","Top40_VIP_High"
"2148","Meat","Top40_VIP_High"
"21488","Fruit","Top40_VIP_High"
"2149","Egg","Top40_VIP_High"
"21535","Complex_Meat","Top40_VIP_High"
"21570","Meat","Top40_VIP_High"
"21615","Egg","Top40_VIP_High"
"21869","Dairy","Top40_VIP_High"
"22107","Seafood","Top40_VIP_High"
"22190","bran","Top40_VIP_High"
"22252","Fruit","Top40_VIP_High"
"22268","bran","Top40_VIP_High"
"22469","Seafood","Top40_VIP_High"
"2252","Vegetable","Top40_VIP_High"
"2255","Meat, Seafood","Top40_VIP_High"
"2261","Meat, Seafood","Top40_VIP_High"
"2263","Meat","Top40_VIP_High"
"22644","Fruit","Top40_VIP_High"
"2284","Complex_Seafood","Top40_VIP_High"
"22850","Complex_Meat","Top40_VIP_High"
"22851","Complex_Dairy","Top40_VIP_High"
"22868","Fruit","Top40_VIP_High"
"2304","Vegetable","Top40_VIP_High"
"23103","Dairy","Top40_VIP_High"
"23133","Complex_Dairy","Top40_VIP_High"
"23201","Complex_Dairy","Top40_VIP_High"
"23228","Complex_Dairy","Top40_VIP_High"
"23241","Fruit","Top40_VIP_High"
"234","Complex_Meat","Top40_VIP_High"
"23459","Vitamins","Top40_VIP_High"
"23460","Vitamins","Top40_VIP_High"
"2354","Vegetable","Top40_VIP_High"
"237","Complex_Meat","Top40_VIP_High"
"23740","EEN","Top40_VIP_High"
"23977","Seafood","Top40_VIP_High"
"23986","Fruit","Top40_VIP_High"
"2399","Meat","Top40_VIP_High"
"24504","Vitamins","Top40_VIP_High"
"24581","Seafood","Top40_VIP_High"
"24799","Dairy","Top40_VIP_High"
"24978","Dairy","Top40_VIP_High"
"25019","Complex_Meat","Top40_VIP_High"
"25598","Dairy","Top40_VIP_High"
"25768","Complex_Meat","Top40_VIP_High"
"25774","Complex_Meat","Top40_VIP_High"
"25957","Vitamins","Top40_VIP_High"
"26009","Vitamins","Top40_VIP_High"
"26427","Fruit","Top40_VIP_High"
"26565","EEN","Top40_VIP_High"
"2678","Complex_Meat","Top40_VIP_High"
"27418","Fruit","Top40_VIP_High"
"27520","Complex_Meat","Top40_VIP_High"
"2760","Meat, Seafood","Top40_VIP_High"
"28","Egg","Top40_VIP_High"
"2813","Complex_Meat","Top40_VIP_High"
"28268","Complex_Meat","Top40_VIP_High"
"28269","Complex_Meat","Top40_VIP_High"
"28277","Complex_Meat","Top40_VIP_High"
"28278","Complex_Meat","Top40_VIP_High"
"28339","Dairy","Top40_VIP_High"
"28416","Vitamins","Top40_VIP_High"
"28445","Vitamins","Top40_VIP_High"
"28526","Fruit","Top40_VIP_High"
"2857","Fruit","Top40_VIP_High"
"2859","Complex_Meat","Top40_VIP_High"
"28648","Complex_Dairy","Top40_VIP_High"
"29074","Fruit","Top40_VIP_High"
"29154","EEN","Top40_VIP_High"
"29357","Fruit","Top40_VIP_High"
"29412","Dairy","Top40_VIP_High"
"295","Egg","Top40_VIP_High"
"29587","Vitamins","Top40_VIP_High"
"29664","Fruit","Top40_VIP_High"
"2971","Meat","Top40_VIP_High"
"298","Egg","Top40_VIP_High"
"29860","Fruit","Top40_VIP_High"
"29910","Meat","Top40_VIP_High"
"29949","Dairy","Top40_VIP_High"
"302","bran","Top40_VIP_High"
"30504","Fruit","Top40_VIP_High"
"30529","Complex_Dairy","Top40_VIP_High"
"31243","Fruit","Top40_VIP_High"
"31672","Complex_Meat","Top40_VIP_High"
"32023","Dairy","Top40_VIP_High"
"32028","Dairy","Top40_VIP_High"
"32153","EEN","Top40_VIP_High"
"3234","Complex_Dairy","Top40_VIP_High"
"33003","Vegetable","Top40_VIP_High"
"33008","Fruit","Top40_VIP_High"
"33009","Fruit","Top40_VIP_High"
"33105","Vitamins","Top40_VIP_High"
"3322","Vegetable, bran","Top40_VIP_High"
"33428","Dairy","Top40_VIP_High"
"33437","Dairy","Top40_VIP_High"
"33680","EEN","Top40_VIP_High"
"34005","Vitamins","Top40_VIP_High"
"34006","Vitamins","Top40_VIP_High"
"34260","Fruit","Top40_VIP_High"
"343","Complex_Dairy","Top40_VIP_High"
"34373","Vitamins","Top40_VIP_High"
"3524","Seafood","Top40_VIP_High"
"35313","Meat","Top40_VIP_High"
"355","Egg","Top40_VIP_High"
"35513","Dairy","Top40_VIP_High"
"3620","Vegetable","Top40_VIP_High"
"3635","Complex_Dairy","Top40_VIP_High"
"36915","EEN","Top40_VIP_High"
"36921","EEN","Top40_VIP_High"
"37172","Dairy","Top40_VIP_High"
"37259","Complex_Meat","Top40_VIP_High"
"3729","Fruit","Top40_VIP_High"
"37483","EEN","Top40_VIP_High"
"37597","Complex_Seafood","Top40_VIP_High"
"37655","Complex","Top40_VIP_High"
"37774","Dairy","Top40_VIP_High"
"37777","Dairy","Top40_VIP_High"
"3801","Vegetable","Top40_VIP_High"
"38448","EEN","Top40_VIP_High"
"38452","EEN","Top40_VIP_High"
"3859","Meat, Seafood","Top40_VIP_High"
"38781","Dairy","Top40_VIP_High"
"38783","Dairy","Top40_VIP_High"
"38787","Dairy","Top40_VIP_High"
"39078","Egg","Top40_VIP_High"
"39409","Dairy","Top40_VIP_High"
"399","Meat","Top40_VIP_High"
"3997","Meat","Top40_VIP_High"
"39976","Complex","Top40_VIP_High"
"40021","Complex","Top40_VIP_High"
"40037","Complex","Top40_VIP_High"
"40122","Complex","Top40_VIP_High"
"40226","Complex","Top40_VIP_High"
"40268","Complex","Top40_VIP_High"
"40334","Complex","Top40_VIP_High"
"4039","Vegetable","Top40_VIP_High"
"40465","Complex_Seafood","Top40_VIP_High"
"4047","Vitamins","Top40_VIP_High"
"40482","Complex","Top40_VIP_High"
"40617","Complex","Top40_VIP_High"
"40651","Complex","Top40_VIP_High"
"40775","Complex","Top40_VIP_High"
"40781","Complex_Seafood","Top40_VIP_High"
"40785","Vitamins","Top40_VIP_High"
"40825","Complex_Seafood","Top40_VIP_High"
"40882","Complex","Top40_VIP_High"
"40919","EEN","Top40_VIP_High"
"40920","EEN","Top40_VIP_High"
"40948","Egg","Top40_VIP_High"
"41014","Complex","Top40_VIP_High"
"41027","Complex","Top40_VIP_High"
"41123","Vegetable","Top40_VIP_High"
"41133","Egg","Top40_VIP_High"
"41153","Complex","Top40_VIP_High"
"41240","Complex","Top40_VIP_High"
"41250","Egg","Top40_VIP_High"
"41258","Dairy","Top40_VIP_High"
"41357","Egg","Top40_VIP_High"
"41382","Complex","Top40_VIP_High"
"41400","Egg","Top40_VIP_High"
"41406","Complex_Seafood","Top40_VIP_High"
"41430","Egg","Top40_VIP_High"
"41452","Complex_Meat","Top40_VIP_High"
"41453","Egg","Top40_VIP_High"
"41753","Egg","Top40_VIP_High"
"4182","Complex_Dairy","Top40_VIP_High"
"41955","EEN","Top40_VIP_High"
"41994","EEN","Top40_VIP_High"
"41995","EEN","Top40_VIP_High"
"41997","EEN","Top40_VIP_High"
"42006","EEN","Top40_VIP_High"
"42060","EEN","Top40_VIP_High"
"42131","Complex_Seafood","Top40_VIP_High"
"4214","Fruit","Top40_VIP_High"
"4220","Seafood","Top40_VIP_High"
"42315","Complex_Seafood","Top40_VIP_High"
"42357","Complex_Seafood","Top40_VIP_High"
"42362","Complex_Seafood","Top40_VIP_High"
"4249","Complex_Dairy","Top40_VIP_High"
"42648","Vitamins","Top40_VIP_High"
"42656","Dairy","Top40_VIP_High"
"42662","Vitamins","Top40_VIP_High"
"42741","Complex","Top40_VIP_High"
"42797","Complex","Top40_VIP_High"
"42822","EEN","Top40_VIP_High"
"42835","Complex","Top40_VIP_High"
"42843","EEN","Top40_VIP_High"
"43035","Complex","Top40_VIP_High"
"43064","EEN","Top40_VIP_High"
"4309","Complex_Seafood","Top40_VIP_High"
"43095","Complex","Top40_VIP_High"
"43140","Complex","Top40_VIP_High"
"43234","Complex_Seafood","Top40_VIP_High"
"43236","Complex","Top40_VIP_High"
"43352","EEN","Top40_VIP_High"
"43353","EEN","Top40_VIP_High"
"43512","Complex","Top40_VIP_High"
"43550","Dairy","Top40_VIP_High"
"43604","Complex_Seafood","Top40_VIP_High"
"43612","Complex_Seafood","Top40_VIP_High"
"4365","Complex_Meat","Top40_VIP_High"
"43841","Vitamins","Top40_VIP_High"
"43924","Complex","Top40_VIP_High"
"43953","Egg","Top40_VIP_High"
"43967","Meat","Top40_VIP_High"
"44","Complex_Meat","Top40_VIP_High"
"44017","Complex","Top40_VIP_High"
"44027","Complex","Top40_VIP_High"
"4419","Meat, Seafood","Top40_VIP_High"
"4424","Complex_Dairy","Top40_VIP_High"
"44251","Complex","Top40_VIP_High"
"44319","Complex","Top40_VIP_High"
"44320","Complex","Top40_VIP_High"
"44323","Complex","Top40_VIP_High"
"44350","Complex","Top40_VIP_High"
"44395","Vitamins","Top40_VIP_High"
"44445","Meat","Top40_VIP_High"
"44510","Complex_Seafood","Top40_VIP_High"
"446","Complex_Meat","Top40_VIP_High"
"4464","Meat, Seafood","Top40_VIP_High"
"44751","Vegetable","Top40_VIP_High"
"45093","bran","Top40_VIP_High"
"45148","Complex_Seafood","Top40_VIP_High"
"4544","Fruit","Top40_VIP_High"
"4553","Fruit","Top40_VIP_High"
"45618","Vegetable, bran","Top40_VIP_High"
"45762","Seafood","Top40_VIP_High"
"45819","Seafood","Top40_VIP_High"
"45824","Vegetable","Top40_VIP_High"
"4583","Meat, Seafood","Top40_VIP_High"
"45941","Vegetable","Top40_VIP_High"
"45954","Vegetable","Top40_VIP_High"
"4609","Meat","Top40_VIP_High"
"461","Complex_Seafood","Top40_VIP_High"
"46140","Complex_Dairy","Top40_VIP_High"
"46345","Vegetable","Top40_VIP_High"
"46459","EEN","Top40_VIP_High"
"4671","EEN","Top40_VIP_High"
"46892","EEN","Top40_VIP_High"
"47058","Vitamins","Top40_VIP_High"
"47165","Vegetable","Top40_VIP_High"
"47212","Vegetable","Top40_VIP_High"
"4725","Meat","Top40_VIP_High"
