"Feature","category","Method"
"10037","Schar bread","Top20_VIP_High"
"10089","Lasagne with beef mince and cheese sauce","Top20_VIP_High"
"10161","Chicken and potato soup","Top20_VIP_High"
"10356","Sandwich with egg-butter","Top20_VIP_High"
"10374","Pasta","Top20_VIP_High"
"10383","Chicken and rice soup","Top20_VIP_High"
"10561","Milk (semi skimmed)","Top20_VIP_High"
"10562","Chicken and rice soup","Top20_VIP_High"
"10641","Pinapple juice","Top20_VIP_High"
"1069","Cod with boiled rice and tomato sauce","Top20_VIP_High"
"10697","Cream cheese","Top20_VIP_High"
"10725","Pinapple juice","Top20_VIP_High"
"1093","Rice pops","Top20_VIP_High"
"10979","Chicken and rice soup","Top20_VIP_High"
"1099","Tuna Mayo Pasta, Chicken Nuggets from L15/D15","Top20_VIP_High"
"10999","Tuna Mayo Pasta","Top20_VIP_High"
"11006","Macaroni Cheese, Cheese and potato bake","Top20_VIP_High"
"11029","Chicken stuffed with cheddar cheese-roasted potatoes and tomato sauce","Top20_VIP_High"
"11074","Cod with boiled rice and tomato sauce","Top20_VIP_High"
"11113","Pasta","Top20_VIP_High"
"11119","Apple juice","Top20_VIP_High"
"11120","Cornflakes","Top20_VIP_High"
"11191","Vitamin adults","Top20_VIP_High"
"11258","Milk (semi skimmed), Milk (whole)","Top20_VIP_High"
"11312","Chocolate Rice Pudding, Chocolate milk shake","Top20_VIP_High"
"11318","Custard cream (based on ice cream)","Top20_VIP_High"
"11332","Milk (semi skimmed)","Top20_VIP_High"
"11431","Chocolate milk shake","Top20_VIP_High"
"1144","Honey flakes","Top20_VIP_High"
"11466","Chocolate Rice Pudding","Top20_VIP_High"
"1148","Beef meatballs with spaghetti and tomato sauce","Top20_VIP_High"
"11675","Cornflakes","Top20_VIP_High"
"11808","Vitamin adults","Top20_VIP_High"
"11836","Cream cheese","Top20_VIP_High"
"11995","Pasta","Top20_VIP_High"
"12005","Cod from fish and chips from L14/D14","Top20_VIP_High"
"12011","Custard cream (based on ice cream)","Top20_VIP_High"
"12055","Salmon with mashed potatoes and cheese sauce","Top20_VIP_High"
"1225","Fish & Chips, Chicken Nuggets & Chips, Chicken Nuggets from L15/D15","Top20_VIP_High"
"1253","Chicken with boiled potatoes and tomato sauce, Fish Pie (cod-salmon) in a cheese sauce topped with mashed potatoes","Top20_VIP_High"
"12566","Sandwich with egg-butter","Top20_VIP_High"
"12639","Warburtons bread","Top20_VIP_High"
"12693","Pinapple juice","Top20_VIP_High"
"12699","Sandwich with chicken-butter","Top20_VIP_High"
"12772","Rice Pudding","Top20_VIP_High"
"1282","Chips","Top20_VIP_High"
"12858","Milk (semi skimmed), Milk (skimmed), Milk (whole)","Top20_VIP_High"
"12924","Lasagne with beef mince and cheese sauce","Top20_VIP_High"
"13085","Tuna Mayo Pasta","Top20_VIP_High"
"1320","Beef meatballs with spaghetti and tomato sauce","Top20_VIP_High"
"13266","Vitamin adults","Top20_VIP_High"
"13269","Vitamin adults","Top20_VIP_High"
"1334","Beef meatballs with spaghetti and tomato sauce","Top20_VIP_High"
"13342","Apple juice","Top20_VIP_High"
"13538","Honey flakes and whole milk, Milk (semi skimmed), Milk (whole)","Top20_VIP_High"
"13622","Cheddar Cheese","Top20_VIP_High"
"13639","Sandwich with egg-butter","Top20_VIP_High"
"13641","Lasagne with beef mince and cheese sauce","Top20_VIP_High"
"1366","Sandwich with cream cheese-cheddar cheese","Top20_VIP_High"
"1372","Beef meatballs with spaghetti and tomato sauce","Top20_VIP_High"
"13730","Sandwich with egg-butter","Top20_VIP_High"
"13764","butter, Sandwich with cream cheese-butter","Top20_VIP_High"
"1381","Cream cheese","Top20_VIP_High"
"13927","Sandwich with egg-butter","Top20_VIP_High"
"13952","Chicken and rice soup","Top20_VIP_High"
"1405","Beef meatballs with spaghetti and tomato sauce","Top20_VIP_High"
"14059","Sandwich with cream cheese-cheddar cheese","Top20_VIP_High"
"1410","Beef meatballs with spaghetti and tomato sauce","Top20_VIP_High"
"1412","Chicken Nuggets & Chips, Chicken Nuggets from L15/D15","Top20_VIP_High"
"14197","Chocolate milk shake","Top20_VIP_High"
"14273","Tomato","Top20_VIP_High"
"1428","Chicken Nuggets & Chips","Top20_VIP_High"
"14316","Egg","Top20_VIP_High"
"1435","Chicken Nuggets & Chips","Top20_VIP_High"
"14415","Sandwich with cream cheese-cheddar cheese","Top20_VIP_High"
"14433","Chocolate milk shake","Top20_VIP_High"
"14460","Chocolate milk shake","Top20_VIP_High"
"14513","Cheddar Cheese","Top20_VIP_High"
"14554","Flour","Top20_VIP_High"
"1457","Fish & Chips, Chicken Nuggets & Chips, Chicken and rice soup","Top20_VIP_High"
"14595","Honey flakes","Top20_VIP_High"
"148","Egg","Top20_VIP_High"
"14862","Tuna Mayo Pasta","Top20_VIP_High"
"15159","Honey flakes and whole milk, Milk (semi skimmed)","Top20_VIP_High"
"15171","Chocolate Rice Pudding","Top20_VIP_High"
"15372","Tomato","Top20_VIP_High"
"15422","Tuna Mayo Pasta, Chicken and rice soup","Top20_VIP_High"
"155","Sandwich with egg-butter","Top20_VIP_High"
"15624","Vitamin kids","Top20_VIP_High"
"15681","Macaroni Cheese","Top20_VIP_High"
"15740","Cheddar Cheese","Top20_VIP_High"
"15757","Vitamin kids","Top20_VIP_High"
"158","Egg","Top20_VIP_High"
"15802","Cod with boiled rice and tomato sauce","Top20_VIP_High"
"15868","Tomato","Top20_VIP_High"
"159","Egg","Top20_VIP_High"
"1593","Tuna Mayo Pasta","Top20_VIP_High"
"16029","Cornflakes and semi skimmed milk, Cornflakes and whole milk","Top20_VIP_High"
"16041","Tomato","Top20_VIP_High"
"16154","Milk (skimmed)","Top20_VIP_High"
"16166","Rice pops and semi skimmed milk","Top20_VIP_High"
"16243","Orange juice","Top20_VIP_High"
"16338","Chicken and potato soup","Top20_VIP_High"
"16359","Pasta","Top20_VIP_High"
"16476","Apple and Mango juice","Top20_VIP_High"
"16614","Chips, Flour, Schar bread","Top20_VIP_High"
"16697","Cream cheese","Top20_VIP_High"
"16730","Milk (skimmed), Rice Pudding","Top20_VIP_High"
"16734","Milk (skimmed)","Top20_VIP_High"
"16777","Pinapple juice","Top20_VIP_High"
"1685","Mayo","Top20_VIP_High"
"16966","Vitamin adults","Top20_VIP_High"
"1704","Fish & Chips","Top20_VIP_High"
"17051","Chicken and potato soup","Top20_VIP_High"
"17066","Schar bread","Top20_VIP_High"
"17141","Cod with boiled rice and tomato sauce","Top20_VIP_High"
"1737","Cod from fish and chips from L14/D14","Top20_VIP_High"
"174","Chicken and rice soup","Top20_VIP_High"
"17421","Beef meatballs with spaghetti and tomato sauce, Cod with boiled rice and tomato sauce","Top20_VIP_High"
"17661","Chicken and potato soup","Top20_VIP_High"
"17668","Flour, Schar bread","Top20_VIP_High"
"17760","Cheddar Cheese","Top20_VIP_High"
"18017","Pinapple juice","Top20_VIP_High"
"18028","Honey flakes and whole milk, Milk (semi skimmed), Milk (whole)","Top20_VIP_High"
"1829","Schar bread","Top20_VIP_High"
"18292","Vitamin adults","Top20_VIP_High"
"18311","Orange juice","Top20_VIP_High"
"18336","Beef meatballs with spaghetti and tomato sauce","Top20_VIP_High"
"1835","Chicken, Tuna","Top20_VIP_High"
"18431","Macaroni Cheese","Top20_VIP_High"
"18571","Rice pops and whole milk","Top20_VIP_High"
"18742","Salmon with mashed potatoes and cheese sauce","Top20_VIP_High"
"18883","Milk (skimmed)","Top20_VIP_High"
"18925","Apple juice, Cheddar Cheese","Top20_VIP_High"
"19076","Apple juice","Top20_VIP_High"
"19085","Tomato","Top20_VIP_High"
"19120","Warburtons bread","Top20_VIP_High"
"19233","Cheese and potato bake","Top20_VIP_High"
"19358","Beef meatballs with spaghetti and tomato sauce","Top20_VIP_High"
"19379","Milk (semi skimmed)","Top20_VIP_High"
"194","Egg, Sandwich with egg-butter","Top20_VIP_High"
"19451","Beef meatballs with spaghetti and tomato sauce","Top20_VIP_High"
"19457","Chicken and potato soup","Top20_VIP_High"
"19593","butter","Top20_VIP_High"
"1973","Beef meatballs with spaghetti and tomato sauce","Top20_VIP_High"
"19761","Cheese and potato bake","Top20_VIP_High"
"19778","Milk (semi skimmed)","Top20_VIP_High"
"19842","Apple juice","Top20_VIP_High"
"19982","Milk (semi skimmed)","Top20_VIP_High"
"19997","Sandwich with egg-butter","Top20_VIP_High"
"201","Sandwich with chicken-cream cheese","Top20_VIP_High"
