"Feature","category","Method"
"10019","bran","Top20_VIP_High"
"10022","bran","Top20_VIP_High"
"10027","bran","Top20_VIP_High"
"10037","bran","Top20_VIP_High"
"10040","bran","Top20_VIP_High"
"10121","bran","Top20_VIP_High"
"104","Complex_Meat","Top20_VIP_High"
"10560","Fruit","Top20_VIP_High"
"10692","Fried_Food","Top20_VIP_High"
"1070","Complex_Seafood","Top20_VIP_High"
"10707","bran","Top20_VIP_High"
"1139","Fried_Food","Top20_VIP_High"
"11501","Vitamins","Top20_VIP_High"
"11864","bran","Top20_VIP_High"
"12187","Complex_Dairy","Top20_VIP_High"
"12363","Complex","Top20_VIP_High"
"1282","Fried_Food","Top20_VIP_High"
"12858","Dairy","Top20_VIP_High"
"12950","Dairy","Top20_VIP_High"
"13077","Vitamins","Top20_VIP_High"
"13112","Vitamins","Top20_VIP_High"
"13468","Complex","Top20_VIP_High"
"13485","Fried_Food","Top20_VIP_High"
"14117","Complex","Top20_VIP_High"
"14296","Vitamins","Top20_VIP_High"
"14344","Fruit","Top20_VIP_High"
"14455","Complex","Top20_VIP_High"
"14572","Vitamins","Top20_VIP_High"
"14652","Fruit","Top20_VIP_High"
"148","Egg","Top20_VIP_High"
"14807","Dairy","Top20_VIP_High"
"15142","Complex_Meat","Top20_VIP_High"
"15422","Complex_Meat","Top20_VIP_High"
"15544","Complex","Top20_VIP_High"
"158","Egg","Top20_VIP_High"
"159","Egg","Top20_VIP_High"
"15997","Vitamins","Top20_VIP_High"
"16257","EEN","Top20_VIP_High"
"16371","Complex_Meat","Top20_VIP_High"
"1656","Vitamins","Top20_VIP_High"
"16614","Fried_Food","Top20_VIP_High"
"16711","Dairy","Top20_VIP_High"
"16730","Dairy","Top20_VIP_High"
"16769","Dairy","Top20_VIP_High"
"16876","Vitamins","Top20_VIP_High"
"1688","Complex_Seafood","Top20_VIP_High"
"16883","Complex","Top20_VIP_High"
"16948","Vitamins","Top20_VIP_High"
"16961","Vitamins","Top20_VIP_High"
"17138","Fruit","Top20_VIP_High"
"17192","Vegetable","Top20_VIP_High"
"1726","Complex_Seafood","Top20_VIP_High"
"17661","Complex_Meat","Top20_VIP_High"
"17724","Dairy","Top20_VIP_High"
"18054","Complex_Dairy","Top20_VIP_High"
"18131","Fruit","Top20_VIP_High"
"1819","Complex_Seafood","Top20_VIP_High"
"18581","bran","Top20_VIP_High"
"18651","Complex_Meat","Top20_VIP_High"
"18819","Dairy","Top20_VIP_High"
"18872","Egg","Top20_VIP_High"
"19247","Dairy","Top20_VIP_High"
"19324","Dairy, Complex_Meat","Top20_VIP_High"
"19379","Dairy","Top20_VIP_High"
"194","Egg","Top20_VIP_High"
"195","Complex_Meat","Top20_VIP_High"
"19531","bran","Top20_VIP_High"
"19863","Vitamins","Top20_VIP_High"
"20128","Dairy","Top20_VIP_High"
"20231","Dairy","Top20_VIP_High"
"20428","bran","Top20_VIP_High"
"20516","Vitamins","Top20_VIP_High"
"20568","Dairy","Top20_VIP_High"
"20617","Vitamins","Top20_VIP_High"
"2064","Complex_Seafood","Top20_VIP_High"
"20946","Vitamins","Top20_VIP_High"
"21093","Complex_Meat","Top20_VIP_High"
"21140","Dairy","Top20_VIP_High"
"21488","Fruit","Top20_VIP_High"
"2149","Egg","Top20_VIP_High"
"21535","Complex_Meat","Top20_VIP_High"
"21615","Egg","Top20_VIP_High"
"21869","Dairy","Top20_VIP_High"
"22013","Vegetable","Top20_VIP_High"
"22124","Vegetable","Top20_VIP_High"
"22190","bran","Top20_VIP_High"
"22252","Fruit","Top20_VIP_High"
"22268","bran","Top20_VIP_High"
"2252","Fried_Food","Top20_VIP_High"
"22644","Fruit","Top20_VIP_High"
"2284","Complex_Seafood","Top20_VIP_High"
"22850","Complex_Meat","Top20_VIP_High"
"22868","Fruit","Top20_VIP_High"
"22906","Complex_Meat","Top20_VIP_High"
"23090","Complex_Dairy","Top20_VIP_High"
"23103","Dairy","Top20_VIP_High"
"23121","Complex_Dairy","Top20_VIP_High"
"23124","Complex_Dairy","Top20_VIP_High"
"23241","Fruit","Top20_VIP_High"
"234","Complex_Meat","Top20_VIP_High"
"23459","Vitamins","Top20_VIP_High"
"23460","Vitamins","Top20_VIP_High"
"2354","Fried_Food","Top20_VIP_High"
"23574","Complex_Dairy","Top20_VIP_High"
"23596","Complex_Dairy","Top20_VIP_High"
"237","Complex_Meat","Top20_VIP_High"
"23740","EEN","Top20_VIP_High"
"23750","Complex_Dairy","Top20_VIP_High"
"23986","Fruit","Top20_VIP_High"
"24504","Vitamins","Top20_VIP_High"
"24799","Dairy","Top20_VIP_High"
"24978","Dairy","Top20_VIP_High"
"25019","Complex_Meat","Top20_VIP_High"
"25462","Complex_Dairy","Top20_VIP_High"
"25463","Complex_Dairy","Top20_VIP_High"
"25598","Dairy","Top20_VIP_High"
"25768","Complex_Meat","Top20_VIP_High"
"25774","Complex_Meat","Top20_VIP_High"
"25784","Complex_Dairy","Top20_VIP_High"
"25957","Vitamins","Top20_VIP_High"
"26009","Vitamins","Top20_VIP_High"
"26013","Complex_Meat","Top20_VIP_High"
"26427","Fruit","Top20_VIP_High"
"26565","EEN","Top20_VIP_High"
"2678","Complex_Meat","Top20_VIP_High"
"27418","Fruit","Top20_VIP_High"
"27520","Complex_Meat","Top20_VIP_High"
"2766","Complex_Meat","Top20_VIP_High"
"27978","Fried_Food","Top20_VIP_High"
"27987","Complex_Meat","Top20_VIP_High"
"28","Egg","Top20_VIP_High"
"2813","Complex_Meat","Top20_VIP_High"
"28269","Complex_Meat","Top20_VIP_High"
"28339","Dairy","Top20_VIP_High"
"28398","Vegetable","Top20_VIP_High"
"28416","Vitamins","Top20_VIP_High"
"28445","Vitamins","Top20_VIP_High"
"28526","Fruit","Top20_VIP_High"
"2857","Fruit","Top20_VIP_High"
"2859","Complex_Meat","Top20_VIP_High"
"29074","Fruit","Top20_VIP_High"
"29154","EEN","Top20_VIP_High"
"29357","Fruit","Top20_VIP_High"
"29412","Dairy","Top20_VIP_High"
"295","Egg","Top20_VIP_High"
"29587","Vitamins","Top20_VIP_High"
"29664","Fruit","Top20_VIP_High"
"2971","Vegetable","Top20_VIP_High"
"298","Egg","Top20_VIP_High"
"29860","Fruit","Top20_VIP_High"
"29949","Dairy","Top20_VIP_High"
"302","bran","Top20_VIP_High"
"30504","Fruit","Top20_VIP_High"
"31243","Fruit","Top20_VIP_High"
"32023","Dairy","Top20_VIP_High"
"32028","Dairy","Top20_VIP_High"
"32153","EEN","Top20_VIP_High"
"32412","Complex_Dairy","Top20_VIP_High"
"33008","Fruit","Top20_VIP_High"
"33009","Fruit","Top20_VIP_High"
"33105","Vitamins","Top20_VIP_High"
"3322","bran","Top20_VIP_High"
"33428","Dairy","Top20_VIP_High"
"33437","Dairy, Complex_Dairy","Top20_VIP_High"
"33680","EEN","Top20_VIP_High"
"34005","Vitamins","Top20_VIP_High"
"34006","Vitamins","Top20_VIP_High"
"34087","Complex_Meat","Top20_VIP_High"
"34260","Fruit","Top20_VIP_High"
"34373","Vitamins","Top20_VIP_High"
"34854","Vegetable","Top20_VIP_High"
"35425","Vegetable","Top20_VIP_High"
"355","Egg","Top20_VIP_High"
"35513","Dairy","Top20_VIP_High"
"36261","Complex_Dairy","Top20_VIP_High"
"36915","EEN","Top20_VIP_High"
"36921","EEN","Top20_VIP_High"
"37172","Dairy","Top20_VIP_High"
"37259","Complex_Meat","Top20_VIP_High"
"3729","Fruit","Top20_VIP_High"
"37483","EEN","Top20_VIP_High"
"37655","Complex","Top20_VIP_High"
"37774","Dairy","Top20_VIP_High"
"37777","Dairy","Top20_VIP_High"
"37876","Complex_Dairy","Top20_VIP_High"
"37995","Complex_Dairy","Top20_VIP_High"
"38448","EEN","Top20_VIP_High"
"38452","EEN","Top20_VIP_High"
"38781","Dairy, Complex_Dairy","Top20_VIP_High"
"38783","Dairy, Complex_Dairy","Top20_VIP_High"
"38787","Dairy, Complex_Dairy","Top20_VIP_High"
"38791","Complex_Dairy","Top20_VIP_High"
"38977","Vegetable","Top20_VIP_High"
"39074","Vegetable","Top20_VIP_High"
"39078","Egg","Top20_VIP_High"
"3908","Vegetable","Top20_VIP_High"
"39409","Dairy","Top20_VIP_High"
"39410","Vegetable","Top20_VIP_High"
"39725","Vegetable","Top20_VIP_High"
"39893","Vegetable","Top20_VIP_High"
"39976","Complex","Top20_VIP_High"
"40021","Complex","Top20_VIP_High"
"40037","Complex","Top20_VIP_High"
"40122","Complex","Top20_VIP_High"
"40226","Complex","Top20_VIP_High"
"40259","Complex_Meat","Top20_VIP_High"
"40268","Complex","Top20_VIP_High"
"40334","Complex","Top20_VIP_High"
"40467","Complex_Seafood","Top20_VIP_High"
"4047","Vitamins","Top20_VIP_High"
"40482","Complex","Top20_VIP_High"
"40617","Complex","Top20_VIP_High"
"40651","Complex","Top20_VIP_High"
"40719","Complex_Dairy","Top20_VIP_High"
"40775","Complex","Top20_VIP_High"
"40781","Complex_Seafood","Top20_VIP_High"
"40785","Vitamins","Top20_VIP_High"
"4082","Vegetable","Top20_VIP_High"
"40825","Complex_Seafood","Top20_VIP_High"
"40882","Complex","Top20_VIP_High"
"40919","EEN","Top20_VIP_High"
"40920","EEN","Top20_VIP_High"
"40948","Egg","Top20_VIP_High"
"40987","Complex_Dairy","Top20_VIP_High"
"41014","Complex","Top20_VIP_High"
"41027","Complex","Top20_VIP_High"
"41070","Complex_Seafood","Top20_VIP_High"
"41071","Complex_Seafood","Top20_VIP_High"
"41100","Complex_Seafood","Top20_VIP_High"
"41117","Complex_Seafood","Top20_VIP_High"
"41123","Fried_Food","Top20_VIP_High"
"41133","Egg","Top20_VIP_High"
"41135","Vegetable","Top20_VIP_High"
"41153","Complex","Top20_VIP_High"
"41159","Complex_Dairy","Top20_VIP_High"
"41163","Complex_Dairy","Top20_VIP_High"
"41240","Complex","Top20_VIP_High"
"41250","Egg","Top20_VIP_High"
"41258","Dairy","Top20_VIP_High"
"41357","Egg","Top20_VIP_High"
"41382","Complex","Top20_VIP_High"
"41400","Egg","Top20_VIP_High"
"41406","Complex_Seafood","Top20_VIP_High"
"41430","Egg","Top20_VIP_High"
"41452","Complex_Meat","Top20_VIP_High"
"41453","Egg","Top20_VIP_High"
"41525","Complex_Dairy","Top20_VIP_High"
"41527","Complex_Dairy","Top20_VIP_High"
"41539","Complex_Dairy","Top20_VIP_High"
"41540","Vegetable","Top20_VIP_High"
"41753","Egg","Top20_VIP_High"
"41758","Complex_Seafood","Top20_VIP_High"
"4184","Complex_Meat","Top20_VIP_High"
"41842","Vegetable","Top20_VIP_High"
"41880","Complex_Dairy","Top20_VIP_High"
"41955","EEN","Top20_VIP_High"
"41994","EEN","Top20_VIP_High"
"41995","EEN","Top20_VIP_High"
"41997","EEN","Top20_VIP_High"
