Feature,category
100120,animal
100175,vegetable/herb
100191,vegetable/herb
100507,fruit
100528,fruit
10055,fruit
100575,animal
100726,animal
100747,animal
100750,animal
10078,fruit
100793,animal
10081,animal
100967,vegetable/herb
101023,animal
101082,animal
101083,vegetable/herb
1011,animal
101186,fruit
101210,animal
101272,vegetable/herb
101288,vegetable/herb
10132,fruit
10134,vegetable/herb
101353,animal
101433,animal
101434,animal
101493,animal
101536,animal
101578,animal
101588,animal
101639,vegetable/herb
101641,animal
101670,vegetable/herb
101685,animal
101712,animal
101713,animal
101730,vegetable/herb
101734,vegetable/herb
101745,vegetable/herb
101756,animal
101814,fruit
101828,fruit
10185,animal
101860,animal
101912,vegetable/herb
101920,animal
101921,animal
101936,animal
101942,animal
101979,vegetable/herb
102039,vegetable/herb
102058,animal
102116,animal
102123,animal
102126,animal
102144,animal
102193,vegetable/herb
102202,vegetable/herb
102229,animal
102299,animal
102330,vegetable/herb
102353,animal
102467,animal
102520,vegetable/herb
102527,animal
102636,animal
102683,fruit
102769,animal
102776,animal
102824,animal
102846,vegetable/herb
102902,vegetable/herb
102919,vegetable/herb
102991,vegetable/herb
103004,animal
103012,animal
103030,animal
103070,animal
103147,vegetable/herb
103239,animal
103244,animal
103256,animal
103266,animal
103305,fruit
103318,fruit
103323,animal
103339,vegetable/herb
103342,animal
103447,fruit
103456,vegetable/herb
10347,vegetable/herb
103483,vegetable/herb
103484,vegetable/herb
103580,vegetable/herb
103619,vegetable/herb
10365,animal
103654,animal
103725,animal
103727,animal
103760,animal
103784,fruit
10382,fruit
103849,fruit
103866,vegetable/herb
103920,vegetable/herb
103944,vegetable/herb
103950,animal
103974,animal
104042,vegetable/herb
104094,animal
104131,fruit
104261,animal
104295,animal
104315,fruit
104317,vegetable/herb
104330,animal
104346,animal
104365,vegetable/herb
104423,vegetable/herb
104450,animal
104460,vegetable/herb
1045,fruit
104535,animal
104539,animal
104657,animal
104658,animal
104790,animal
104793,vegetable/herb
104805,animal
104810,vegetable/herb
104815,fruit
104896,animal
1049,vegetable/herb
104914,vegetable/herb
104915,fruit
1050,fruit
105001,vegetable/herb
105141,fruit
105200,fruit
105257,fruit
105293,animal
105307,fruit
105364,fruit
105369,fruit
105373,fruit
105443,fruit
105444,fruit
105447,vegetable/herb
105602,vegetable/herb
105700,fruit
10571,animal
105763,fruit
105780,fruit
105826,animal
10583,fruit
105833,animal
105858,fruit
105888,vegetable/herb
105892,vegetable/herb
1059,animal
105941,animal
105957,fruit
106001,vegetable/herb
106022,fruit
10609,fruit
106205,animal
106256,animal
106374,vegetable/herb
10639,vegetable/herb
106452,animal
106460,vegetable/herb
1066,fruit
106601,animal
106632,animal
106686,animal
106687,vegetable/herb
106782,animal
10679,vegetable/herb
106792,animal
106793,animal
106795,animal
10680,fruit
106902,animal
107008,animal
107045,vegetable/herb
107074,animal
107112,vegetable/herb
107169,animal
107201,animal
1073,animal
107337,animal
107343,animal
107352,vegetable/herb
107449,vegetable/herb
107459,animal
107594,animal
107606,animal
107607,animal
107767,animal
107780,fruit
107788,animal
107808,vegetable/herb
107943,animal
107950,animal
107965,fruit
108046,animal
108059,animal
108109,vegetable/herb
108160,vegetable/herb
108172,vegetable/herb
108216,animal
108235,vegetable/herb
108243,vegetable/herb
108350,fruit
108427,vegetable/herb
108456,animal
108463,animal
108531,fruit
108600,animal
108644,animal
108665,animal
108735,animal
1088,animal
108857,vegetable/herb
108923,animal
108952,animal
109017,vegetable/herb
109103,animal
10911,animal
109234,animal
109242,animal
109289,animal
109308,animal
10936,animal
109419,animal
109454,animal
109497,animal
109518,animal
109521,animal
109537,vegetable/herb
109605,animal
109736,vegetable/herb
109761,animal
109784,animal
1098,fruit
109849,animal
109862,animal
109878,animal
109921,vegetable/herb
110110,animal
110140,animal
110200,vegetable/herb
1103,animal
110338,animal
110488,animal
110533,animal
110596,vegetable/herb
110699,animal
110709,vegetable/herb
11073,animal
11077,vegetable/herb
110812,animal
110820,animal
110836,vegetable/herb
111069,animal
111092,animal
111169,animal
111171,animal
111199,animal
111247,fruit
111334,vegetable/herb
111363,vegetable/herb
111380,vegetable/herb
111391,animal
111399,animal
111461,vegetable/herb
111503,animal
111525,vegetable/herb
111547,animal
111578,animal
111588,vegetable/herb
111625,fruit
111640,vegetable/herb
111663,vegetable/herb
111698,vegetable/herb
111729,animal
111732,vegetable/herb
11180,animal
11183,fruit
111835,vegetable/herb
111841,fruit
111997,vegetable/herb
112014,fruit
112048,fruit
112081,animal
112106,vegetable/herb
112114,vegetable/herb
112128,animal
112152,animal
