row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NIST_Omnivore1_1.mzML Peak area,NIST_Omnivore1_2.mzML Peak area,NIST_Omnivore1_3.mzML Peak area,NIST_Omnivore2_1.mzML Peak area,NIST_Omnivore2_2.mzML Peak area,NIST_Omnivore2_3.mzML Peak area,NIST_Vegan1_1.mzML Peak area,NIST_Vegan1_2.mzML Peak area,NIST_Vegan1_3.mzML Peak area,NIST_Vegan2_1.mzML Peak area,NIST_Vegan2_2.mzML Peak area,NIST_Vegan2_3.mzML Peak area,NIST_blank_1.mzML Peak area,NIST_blank_2.mzML Peak area,NIST_blank_3.mzML Peak area,Poolmix_1.mzML Peak area,Poolmix_2.mzML Peak area,Poolmix_3.mzML Peak area,QCmix_1.mzML Peak area,QCmix_2.mzML Peak area,QCmix_3.mzML Peak area,blank_1.mzML Peak area,blank_2.mzML Peak area,blank_3.mzML Peak area,blank_4.mzML Peak area,blank_5.mzML Peak area,blank_6.mzML Peak area
15,147.0346342,0.34398034,,,,5,0,[M+NH4]+,,2,15;20,129.00077,48.95433,177.6856,70.24642,25.406448,107.76358,99.55844,49.826187,107.31197,124.70083,40.459736,46.74501,59.67792,3025.1543,4239.0063,3598.7092,47.826637,70.141266,33.496525,7452.42,8821.779,9770.32,189.63802,175.13148,171.42647,110.21243,28.412582,68.20974
20,130.0080011,0.34866115,,,,5,0,[M+H]+,,2,15;20,129.00077,24.624603,22.84382,17.192799,82.565285,21.474083,57.91759,51.834362,43.593742,21.678627,22.334488,23.868742,51.42036,2488.3652,3424.4016,2764.1616,18.539637,24.707115,17.382229,6034.2036,7898.2617,9108.052,117.37561,46.945293,36.291008,37.17997,20.256996,40.712494
19,119.0397548,0.3505653,,,,5,,,,,,,1009.66064,745.1534,392.6856,428.4755,191.94716,304.89655,675.90515,826.4159,598.6612,742.53375,332.8529,343.3448,10992.33,11101.641,11869.853,454.79584,239.6701,1362.3165,22360.68,27548.584,27084.164,2151.4004,2109.0466,523.22,1531.7772,784.2316,561.26434
14,143.0395479,0.35297337,,,,5,,,,,,,373.4849,323.66928,428.52725,1047.6572,698.11395,423.71872,575.1441,931.8195,267.8292,929.83405,513.55194,1334.0725,8430.536,9423.28,8999.867,444.02637,1378.8507,1018.01245,24304.771,29413.576,28477.959,196.68376,1621.6909,503.98944,1548.9257,380.6223,291.81644
13,120.0237364,0.3546871,,,,5,,,,,,,580.1821,789.23944,187.13776,177.02344,494.28055,109.91286,416.5223,280.3098,393.27725,290.3702,288.6388,476.03256,7953.6763,7946.0913,7983.3774,884.609,477.8137,618.87335,17603.3,19385.363,19649.34,1887.0197,821.6011,802.9287,717.4336,399.53888,214.6962
17,158.0027302,0.36011928,,,,5,,,,,,,326.8358,377.80548,315.67737,392.18268,181.34079,518.7084,316.7359,381.65244,538.3779,330.35803,166.44377,392.5481,6228.576,6794.6035,7137.218,254.26112,172.02347,263.53165,11238.242,19483.2,24874.121,230.13431,1474.3044,197.29956,274.44183,848.8124,878.32837
47,226.0118314,0.3650551,,,,7,,,,,,,24.144672,106.78639,29.043983,32.67117,24.973513,23.887058,146.6162,284.86328,28.307518,129.20346,126.47793,129.72757,8653.8955,8153.316,10027.935,81.2185,114.4814,24.135092,6489.6367,3468.0784,5090.5815,9167.729,8116.1836,10283.351,4973.875,12337.031,3872.8132
37,139.9876785,0.379164,,,,7,1,[M+H]+,,2,37;31,138.98029,282.83228,331.62512,317.49747,19.417772,312.5528,295.01,684.61194,47.233265,59.59815,1624.7139,1853.187,258.81918,8343.13,7300.8804,9831.93,72.12236,22.411772,291.06885,5985.88,2550.651,5028.6973,7621.22,7458.8784,9188.832,4499.4604,12501.83,3252.4292
151,226.9512019,0.37951177,,,,,,,,,,,8313.001,7764.5854,7802.0015,8321.451,8219.369,8184.642,7813.551,7939.0156,8234.15,8496.155,7909.186,7969.608,169974.55,143645.98,150876.66,7674.573,7726.287,8538.329,533914.6,674811.94,682741.56,46728.78,61146.766,64814.18,52323.844,44722.48,54047.527
152,294.9386082,0.38052425,,,,,,,,,,,2486.79,1094.5587,2846.9072,2921.5332,2924.1736,2751.7231,2727.4087,2304.1794,2811.062,2876.3394,2756.022,2764.111,52239.074,43043.24,44694.023,2654.859,2673.4075,1548.124,175918.6,230082.1,239669.95,14684.965,19110.729,20792.654,18449.186,14138.566,17771.248
164,220.934304,0.38069764,,,,0,,,,,,,4747.6406,4719.299,4712.9517,5205.3184,4961.2524,5220.9434,4598.6685,5032.4575,4644.147,4984.563,4334.378,4774.5483,37365.312,38081.68,35454.83,4566.2197,4235.386,5094.746,50333.066,60859.906,59952.082,7971.418,9164.908,9083.815,9051.941,9514.039,9735.265
148,140.0679983,0.3831809,,,,,,,,,,,369.82343,916.9645,1952.3765,1985.3011,2026.7314,1352.4438,1594.4069,944.97314,590.9735,886.17267,756.6995,1361.7289,14024.611,13747.809,12490.796,472.99985,1854.5497,2081.1382,34103.457,38851.33,41503.867,7844.493,8838.915,8783.508,8314.598,9628.366,9654.544
154,430.9135328,0.38315487,,,,,,,,,,,1330.9662,339.9773,527.19275,903.58813,681.0645,532.6793,324.759,656.25256,1154.9597,1170.0104,1159.4299,1171.119,25321.402,23313.875,24501.783,603.36475,1000.9386,1392.1707,96367.52,128681.57,130444.23,12331.796,14159.04,15125.448,14915.431,11074.333,14389.77
153,362.9258356,0.38325155,,,,,,,,,,,2262.5984,1530.779,1660.2471,2189.8875,249.3851,2231.49,2017.6346,1128.4915,2104.0942,2198.256,863.311,1638.2771,40551.98,34369.004,36325.312,2008.6465,1983.4895,2418.1501,152080.08,198577.3,201691.31,15190.35,18088.303,19581.674,18948.295,13761.552,18079.395
84,162.0071703,0.38354638,,,,8,,,,,,,37533.97,45605.555,36097.52,52336.645,39618.58,49283.527,31149.48,48118.92,39002.688,30381.611,24088.777,35683.297,13829.262,19154.81,14337.906,54245.01,36692.633,34345.875,10040.723,13444.381,10712.787,1379.44,1534.5347,7690.735,4975.368,3635.953,8851.009
31,161.9693999,0.3835798,,,,7,1,[M+Na]+,,2,37;31,138.98029,301.38425,278.74237,0,284.35315,22.146484,215.88376,456.1951,54.016853,0,1527.5605,1685.1674,19.370314,8146.4565,7294.8213,8707.751,22.430172,81.9536,287.88513,5769.8438,2288.4507,5139.0166,7811.4136,7578.7686,9209.912,4399.874,12682.005,3021.0156
44,160.985548,0.3855547,,,,7,2,[M+NH4]+,,2,28;44,142.95166,479.8299,397.16895,429.28583,343.78558,455.14282,432.1266,905.0791,124.576645,391.97247,2119.721,3123.915,388.61084,10142.3125,9147.403,11475.996,71.64969,338.33023,433.5556,7905.4927,3452.1284,5069.255,10300.139,9550.696,12057.255,5636.555,16043.2705,3622.5625
27,141.983385,0.38830233,,,,7,4,[M+H]+,,2,24;27,140.97579,0,0,0,0,0,0,18.937561,0,0,561.81195,576.5015,0,3029.7844,2462.2827,3494.2617,15.6444645,0,0,2430.4624,890.4568,1658.7013,2968.1072,3060.2908,3601.042,1193.4635,4413.0254,896.5452
46,186.9804859,0.38863492,,,,7,3,[2M+H]+,,2,46;59,92.9866,1400.7146,1127.3528,1062.6111,925.9944,1846.3722,1335.022,2818.5298,827.9694,1391.0825,11230.699,6216.1855,799.9596,18845.941,16725.719,21777.629,629.94354,947.47375,1576.0422,13793.636,8383.776,10796.37,23268.742,17209.81,24524.992,10216.917,34209.516,8080.4497
82,143.9967597,0.38896775,,,,8,,,,,,,324874.62,352038.28,304397.75,415615.72,377432.2,403775.03,352009.8,387114.75,343496.56,262775.97,229734.38,269972.38,80202.266,70292.35,57234.617,372810.28,335130.8,310009.28,65809.59,89709.14,90498.78,50211.465,33947.516,53368.3,53782.68,38680.586,53968.914
53,184.9853555,0.38992217,,,,7,,,,,,,3446.9785,3101.9172,5438.415,2037.0964,3198.6702,3252.3088,6948.1597,3384.9878,2229.708,37937.47,36092.297,3969.2437,52049.63,55806.82,57481.812,7160.279,2847.4873,4082.505,47738.434,25158.297,38895.12,63161.06,59821.035,55554.883,29073.896,90784.3,21485.627
45,162.9672377,0.38997763,,,,7,,,,,,,481.53717,399.13165,328.14383,376.62238,547.1732,422.88147,1024.1355,459.90027,0,10746.666,11153.739,298.80246,23380.914,19027.658,26325.834,111.272484,0,497.94916,15623.69,6836.4033,10595.748,21787.793,20933.547,27336.896,10855.788,32330.361,7107.1543
38,144.9568256,0.39031357,,,,7,5,[M+H]+,,2,36;38,143.94945,990.5343,297.7638,781.43365,240.26923,895.47656,356.52103,1710.2048,0,584.43384,11800.146,14232.562,362.55255,12381.203,9862.347,13681.566,0,613.83386,780.4564,9462.275,4475.6406,7213.5283,10608.694,10738.103,13744.647,5165.199,17081.545,3180.8918
94,185.0232129,0.39088875,,,,,,,,,,,94428.45,106622.336,104939.69,125515.45,125805.94,127322.2,111418.26,119179.87,107390.68,78650.95,85180.305,81085.52,39254.363,38842.113,39738.027,124300.234,96448.85,90456.01,39455.492,37915.54,37946.59,11254.951,11308.052,11185.156,4709.8657,10055.712,12736.998
59,111.020414,0.39137018,,,,7,3,[M+NH4]+,,2,46;59,92.9866,483.72964,0,477.02353,0,521.2869,224.59888,1079.8721,0,0,1210.9692,8344.032,240.61356,3696.3843,2580.0667,4534.0586,0,0,554.4873,3517.4854,553.17096,1398.1622,3482.6921,3884.9573,3091.3728,2020.4963,6810.765,870.98987
28,143.9588807,0.3915199,,,,7,2,[M+H]+,,2,28;44,142.95166,0,0,395.60583,0,406.97314,246.52097,565.8,0,0,1225.2914,1912.6633,0,4305.287,3243.4827,4646.203,0,0,292.16745,3410.583,1363.1016,2698.252,3498.6672,3589.5593,4181.0435,1689.6515,6327.401,1301.1888
24,163.9646967,0.3928313,,,,7,4,[M+Na]+,,2,24;27,140.97579,0,0,0,0,0,0,0,0,0,483.38727,671.8276,0,3054.0425,2102.9424,3633.0112,0,0,0,2084.3513,776.61523,1261.1909,2750.9434,2673.2927,3250.1482,1623.2125,4865.439,859.5946
36,161.9831762,0.39315075,,,,7,5,[M+NH4]+,,2,38;36,143.94945,0,0,0,0,0,0,491.026,0,0,988.00586,1479.5017,0,4950.2837,3874.9578,5986.24,0,0,258.0785,3688.0413,1339.6161,2091.4468,4606.129,4426.217,6269.146,2154.3762,7129.905,1355.1857
60,185.9831871,0.39342692,,,,7,,,,,,,11326.353,1974.0688,8286.75,2066.1367,3844.7786,9025.805,18056.047,7381.6724,2166.4607,56200.527,59164.22,1793.2263,96085.9,88236.04,107372.61,21341.014,2486.9167,4250.578,76214.414,39324.707,53207.953,103894.805,98182.8,119998.56,53549.168,132512.3,37470.742
79,167.0126412,0.39493814,,,,8,,,,,,,729769.5,754034.3,760381.2,936873.94,898035.44,901027.56,800824.2,812302.06,823101.3,573549.4,595075.3,621082.9,187670.75,183499.2,195390.39,835558.1,775941.94,748003.2,177961.14,187016.75,183542.06,92685.72,68696.81,65166.363,94413.234,104886.766,95962.55
75,239.9660978,0.39790457,,,,,,,,,,,337733.6,262474.56,319499.3,296029,365311.38,302789.7,375720.25,296511,378123.94,253195.86,311905.88,264506.66,928.67804,713.1033,1159.0184,266557.66,345148.56,319791.34,430.18646,621.1605,1379.6824,0,0,0,0,617.027,0
174,150.1124469,0.39799735,,,,,,,,,,,122.79556,375.7608,342.2036,301.35342,84.68816,294.53995,209.27228,89.19832,230.90092,257.9874,126.68919,186.3589,8169.043,8643.197,8503.417,77.957,100.54788,283.60077,335602.44,323399.7,323702.12,1347.4635,1447.8341,1487.39,1464.0143,1205.196,696.43555
74,265.0151959,0.39836895,,,,8,,,,,,,652526.56,698009.75,662328.3,654027.4,611222.9,654147.25,762569.7,846787.94,778513.25,761390.9,782996.4,855524,1295.286,996.96204,1478.815,815856.2,710115.3,700299.5,625.14404,700.15546,1279.4385,763.5958,821.39746,827.56165,366.64557,5326.7812,95.38808
68,241.9991644,0.39876828,,,,8,,,,,,,521898.8,565674.56,497240.62,553222.06,463926.6,511798.72,613248.2,687425.06,624323.6,668749.25,632743.44,721381.1,1131.2704,732.34735,1206.8303,669665.25,570880.44,535405.8,0,475.2986,1056.0358,802.98096,693.0266,651.72473,279.537,3891.441,112.22845
62,170.0466825,0.3988112,,,,8,,,,,,,41832.48,43674.63,43031.31,42206.87,37057.86,40193.098,42058.074,53004.684,44054.004,45968.594,43188.348,48995.08,1519.1892,1879.6141,1805.7672,61635.906,43289.07,42180.086,1466.7563,1186.8856,1586.6465,1733.4623,2234.737,1993.6558,1633.3262,3591.477,1163.8003
63,169.0456009,0.39895546,,,,8,,,,,,,326202.2,383470.47,340402.34,365233.28,329423.72,369918.94,348282.7,454256.84,404007.03,394954.25,367192.12,412560.9,22604.506,20810.424,28338.97,492042.75,385319.5,349015,17396.295,16450.94,20814.406,18704.262,17521.297,17854.191,14891.51,30978.29,12345.511
