#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
2787	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:27375	43002	-1	0	205.097	1	0.999925	101.24	0	39820000.0	1380040000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf2787	-1	500_foods_SPECTRUMID2.mgf	1.33916				8	0	0.000274658	205.097	0	
477	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:4611	6980	-1	0	150.077	1	0.999672	30.18	0	9730000.0	161842000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf477	-1	500_foods_SPECTRUMID2.mgf	126.583				7	0	0.0189972	150.058	0	
12649	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:186708	3487	-1	0	300.159	1	0.999628	454.61	0	2981000.0	255177000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf12649	-1	500_foods_SPECTRUMID2.mgf	1.72842				10	0	0.000518799	300.159	0	
1399	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:15245	51691	-1	0	261.145	1	0.999479	58.9	0	2195900.0	854046000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf1399	-1	500_foods_SPECTRUMID2.mgf	0.934887				14	0	0.000244141	261.144	0	
10285	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:158515	952	-1	0	277.128	1	0.999406	386.56	0	1997800.0	625003000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf10285	-1	500_foods_SPECTRUMID2.mgf	1.32145				10	0	0.000366211	277.128	0	
732	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:13355	50263	-1	0	133.032	1	0.999375	38.79	0	108700.0	74838000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf732	-1	500_foods_SPECTRUMID2.mgf	0.229401				6	0	3.05176e-05	133.032	0	
7368	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:64359	30291	-1	0	188.128	1	0.999362	243.76	0	276500.0	62661100.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf7368	-1	500_foods_SPECTRUMID2.mgf	0.56776				10	0	0.000106812	188.128	0	
678	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:3482	969	-1	0	138.091	1	0.999323	39.47	0	1175000.0	355862000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf678	-1	500_foods_SPECTRUMID2.mgf	0.331493				6	0	4.57764e-05	138.091	0	
177	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:870	52038	-1	0	265.112	1	0.999249	26.74	0	112690000.0	628448000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf177	-1	500_foods_SPECTRUMID2.mgf	1.15112				7	0	0.000305176	265.111	0	
10740	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:165715	48776	-1	0	229.143	1	0.999127	399.24	0	352800.0	98957000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf10740	-1	500_foods_SPECTRUMID2.mgf	0.799086				11	0	0.000183105	229.143	0	
5407	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:48573	24847	-1	0	180.102	1	0.999113	181.79	0	1948000.0	97805700.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf5407	-1	500_foods_SPECTRUMID2.mgf	0.254169				6	0	4.57764e-05	180.102	0	
7941	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:95084	49002	-1	0	232.097	1	0.999026	268.51	0	2744000.0	62672100.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf7941	-1	500_foods_SPECTRUMID2.mgf	1.31486				11	0	0.000305176	232.097	0	
17197	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:246171	7569	-1	0	151.097	1	0.998986	572.87	0	41200.0	5020160.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf17197	-1	500_foods_SPECTRUMID2.mgf	5.04934				5	0	0.000762939	151.098	0	
1249	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:13253	6347	-1	0	149.06	1	0.998723	54.74	0	5271000.0	98105000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf1249	-1	500_foods_SPECTRUMID2.mgf	0.511834				6	0	7.62939e-05	149.06	0	
1542	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:15654	3256	-1	0	298.129	1	0.998706	63.02	0	1986000.0	495088000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf1542	-1	500_foods_SPECTRUMID2.mgf	1.33073				14	0	0.000396729	298.128	0	
